candidate,party,timestamp
HICHAM,Parti Alpha,1743972247.0491257
IKRAM,Parti Bêta,1743972249.0550916
HICHAM,Parti Alpha,1743972251.058132
SALIH,Parti Gamma,1743972253.0609925
IKRAM,Parti Bêta,1743972255.0633585
SALIH,Parti Gamma,1743972257.0659778
SALIH,Parti Gamma,1743972259.0688362
SALIH,Parti Gamma,1743972261.0721657
SALIH,Parti Gamma,1743972263.074841
HICHAM,Parti Alpha,1743972265.0777328
HICHAM,Parti Alpha,1743972267.0797086
HICHAM,Parti Alpha,1743972269.0819783
IKRAM,Parti Bêta,1743972271.0827856
IKRAM,Parti Bêta,1743972273.0861301
HICHAM,Parti Alpha,1743972275.0890706
IKRAM,Parti Bêta,1743972277.0930586
HICHAM,Parti Alpha,1743972279.096792
IKRAM,Parti Bêta,1743972281.1000955
IKRAM,Parti Bêta,1743972283.1048117
IKRAM,Parti Bêta,1743972285.1079772
HICHAM,Parti Alpha,1743972287.1120806
IKRAM,Parti Bêta,1743972289.115283
IKRAM,Parti Bêta,1743972291.1186066
IKRAM,Parti Bêta,1743972293.1215565
SALIH,Parti Gamma,1743972295.124693
IKRAM,Parti Bêta,1743972297.1265666
SALIH,Parti Gamma,1743972299.1289713
IKRAM,Parti Bêta,1743972301.1308239
IKRAM,Parti Bêta,1743972303.1327317
HICHAM,Parti Alpha,1743972305.136237
SALIH,Parti Gamma,1743972307.1390111
IKRAM,Parti Bêta,1743972309.1417713
SALIH,Parti Gamma,1743972311.1437452
IKRAM,Parti Bêta,1743972313.1470654
HICHAM,Parti Alpha,1743972315.1498797
HICHAM,Parti Alpha,1743972317.1531484
HICHAM,Parti Alpha,1743972319.155918
SALIH,Parti Gamma,1743972321.1587603
SALIH,Parti Gamma,1743972323.160972
SALIH,Parti Gamma,1743972325.1640813
HICHAM,Parti Alpha,1743972327.1679394
HICHAM,Parti Alpha,1743972329.172657
IKRAM,Parti Bêta,1743972331.1762936
IKRAM,Parti Bêta,1743972333.1838927
IKRAM,Parti Bêta,1743972335.1917696
IKRAM,Parti Bêta,1743972337.1947646
SALIH,Parti Gamma,1743972339.1979742
SALIH,Parti Gamma,1743972341.2005548
SALIH,Parti Gamma,1743972343.2041705
HICHAM,Parti Alpha,1743972345.2088196
IKRAM,Parti Bêta,1743972347.211022
SALIH,Parti Gamma,1743972349.2131789
HICHAM,Parti Alpha,1743972351.215961
HICHAM,Parti Alpha,1743972353.218813
IKRAM,Parti Bêta,1743972355.221091
IKRAM,Parti Bêta,1743972357.2237794
SALIH,Parti Gamma,1743972359.225599
SALIH,Parti Gamma,1743972361.227808
HICHAM,Parti Alpha,1743972363.2309847
IKRAM,Parti Bêta,1743972365.2340326
SALIH,Parti Gamma,1743972367.2366087
IKRAM,Parti Bêta,1743972369.240293
SALIH,Parti Gamma,1743972371.2439265
HICHAM,Parti Alpha,1743972373.2468214
SALIH,Parti Gamma,1743972375.249699
HICHAM,Parti Alpha,1743972377.2509706
SALIH,Parti Gamma,1743972379.2539973
HICHAM,Parti Alpha,1743972381.2568443
HICHAM,Parti Alpha,1743972383.2592642
IKRAM,Parti Bêta,1743972385.2618628
HICHAM,Parti Alpha,1743972387.2643328
IKRAM,Parti Bêta,1743972389.2672985
IKRAM,Parti Bêta,1743972391.26982
SALIH,Parti Gamma,1743972393.2772331
HICHAM,Parti Alpha,1743972395.2798991
IKRAM,Parti Bêta,1743972397.282741
IKRAM,Parti Bêta,1743972399.2858675
SALIH,Parti Gamma,1743972401.2880123
